Disease,Description
Fungal infection,"An invasion of fungi into the body, commonly affecting skin, nails, or lungs. It can occur in moist areas and is often spread through direct contact."
Allergy,An immune system overreaction to substances like pollen or certain foods. It causes various reactions depending on the type of allergen.
GERD,A chronic condition where stomach acid flows back into the esophagus. This can lead to long-term damage to the esophagus lining.
Chronic cholestasis,"A condition where bile flow from the liver is reduced or blocked. It can result from liver disease, bile duct obstruction, or genetic disorders."
Drug Reaction,An adverse response by the body to a medication. Reactions can range from mild to severe and can affect various body systems.
Peptic ulcer disease,Sores that form on the stomach lining or the upper part of the small intestine. They develop due to damage from stomach acid.
AIDS,"AIDS (Acquired Immunodeficiency Syndrome): The most advanced stage of HIV infection, severely weakening the immune system. It makes the body highly susceptible to infections and certain cancers."
Diabetes,A chronic condition where the body cannot properly process blood sugar. This can be due to insufficient insulin production or resistance to insulin's effects.
Gastroenteritis,Inflammation of the stomach and intestines typically caused by infection or toxins. It can be triggered by contaminated food or water.
Bronchial Asthma,A condition where the airways become inflamed and narrowed. This chronic disease can affect breathing and requires long-term management.
Hypertension,Hypertension (High blood pressure): A condition where the blood pressure in the arteries is consistently elevated. It increases the risk of heart disease and stroke.
Migraine,A neurological condition characterized by intense headaches. It often has recurring episodes that can affect daily activities.
Cervical spondylosis,Age-related wear and tear affecting the cervical spine (neck region). It can lead to chronic neck pain and stiffness.
Paralysis (brain hemorrhage), Loss of muscle function due to bleeding in the brain. This can occur from a stroke or traumatic injury.
Jaundice,A condition where there is a high level of bilirubin in the blood. This results in a yellowing of the skin and eyes.
Malaria,A disease caused by parasites transmitted by mosquito bites. It is prevalent in tropical and subtropical regions.
Chicken pox,"A highly contagious viral infection, usually occurring in childhood. It spreads through direct contact or airborne transmission."
Dengue,A mosquito-borne viral infection common in tropical areas. It requires vector control and preventive measures to manage outbreaks.
Typhoid,A bacterial infection spread through contaminated food and water. It is common in areas with poor sanitation.
hepatitis A,A viral liver infection transmitted through ingestion of contaminated food or water. It typically causes an acute liver disease.
Hepatitis B,"A viral infection that affects the liver and can become chronic. It is transmitted through blood, sexual contact, or from mother to child."
Hepatitis C,"A liver infection caused by the hepatitis C virus, often becoming chronic. It is primarily spread through blood-to-blood contact."
Hepatitis D,"A serious liver disease caused by the hepatitis D virus, requiring the presence of hepatitis B virus. It is transmitted through blood."
Hepatitis E,"A liver infection caused by the hepatitis E virus, usually resulting from consuming contaminated water. It often causes an acute infection."
Alcoholic hepatitis,Liver inflammation caused by excessive alcohol consumption. It can lead to severe liver damage and cirrhosis.
Tuberculosis,A bacterial infection that primarily affects the lungs. It spreads through airborne particles from an infected person.
Common Cold,A viral infection of the upper respiratory tract. It is highly contagious and typically self-limiting.
Pneumonia,"An infection that inflames the air sacs in one or both lungs. It can be caused by bacteria, viruses, or fungi."
Dimorphic hemmorhoids(piles),Swollen veins in the lowest part of the rectum and anus. They can be internal or external.
Heart attack,Occurs when blood flow to a part of the heart is blocked for a long enough time to cause damage to the heart muscle. It is a medical emergency.
Varicose veins,"Enlarged, twisted veins often appearing in the legs. They result from weakened or damaged valves in the veins."
Hypothyroidism,A condition where the thyroid gland doesn't produce enough thyroid hormones. It can affect metabolism and energy levels.
Hyperthyroidism,A condition where the thyroid gland produces too much thyroid hormone. This can increase metabolism and lead to various symptoms.
Hypoglycemia,Abnormally low blood sugar levels. It can be a side effect of diabetes treatment or other health conditions.
Osteoarthristis,"A degenerative joint disease where the cartilage wears down over time. It commonly affects the knees, hips, and hands."
Arthritis,Inflammation of the joints causing pain and stiffness. It encompasses various conditions like osteoarthritis and rheumatoid arthritis.
(vertigo) Paroymsal Positional Vertigo,A sudden sensation of spinning or dizziness. It is often triggered by changes in head position.
Acne,"A skin condition where hair follicles become clogged with oil and dead skin cells. It can cause pimples, blackheads, and cysts."
Urinary tract infection,"An infection in any part of the urinary system, including the kidneys, bladder, or urethra. It is more common in women."
Psoriasis,A chronic skin condition that speeds up the life cycle of skin cells. It causes cells to build up rapidly on the skin's surface.
Impetigo,A contagious bacterial skin infection common in children. It causes red sores that can break open and form a yellow-brown crust.
